date,OT,Radia,EquiT,EnvT,Press,Humility
2020/1/2 1:00,0,0,5.97861,7.9,1034.23716,86.3449
2020/1/2 1:15,0,0,6.17463,7.8,1034.0352,87.3852
2020/1/2 1:30,0,0,6.07662,7.9,1034.64108,87.3852
2020/1/2 1:45,0,0,6.27264,7.8,1034.74206,87.3852
2020/1/2 2:00,0,0,6.27264,7.7,1034.74206,87.3852
2020/1/2 2:15,0,0,6.27264,7.6,1034.5401,88.4255
2020/1/2 2:30,0,0,6.27264,7.5,1034.64108,88.4255
2020/1/2 2:45,0,0,6.27264,7.5,1034.5401,88.4255
2020/1/2 3:00,0,0,6.37065,7.6,1034.5401,88.4255
2020/1/2 3:15,0,0,6.46866,7.6,1034.43912,88.4255
2020/1/2 3:30,0,0,6.76269,7.6,1034.5401,88.4255
2020/1/2 3:45,0,0,6.46866,7.5,1034.5401,88.4255
2020/1/2 4:00,0,0,6.46866,7.5,1034.74206,88.4255
2020/1/2 4:15,0,0,6.76269,7.4,1034.74206,87.3852
2020/1/2 4:30,0,0,6.76269,7.4,1034.84304,87.3852
2020/1/2 4:45,0,0,6.66468,7.5,1034.84304,87.3852
2020/1/2 5:00,0,0,6.66468,7.6,1034.94402,87.3852
2020/1/2 5:15,0,0,6.66468,7.6,1034.84304,86.3449
2020/1/2 5:30,0,0,6.66468,7.6,1034.94402,85.3046
2020/1/2 5:45,0,0,6.56667,7.7,1034.94402,85.3046
2020/1/2 6:00,0,0,6.46866,7.5,1034.94402,84.2643
2020/1/2 6:15,0,0,6.27264,7.3,1034.84304,83.224
2020/1/2 6:30,0,0,6.27264,7.2,1035.34794,82.1837
2020/1/2 6:45,0,0,6.46866,7,1035.44892,81.1434
2020/1/2 7:00,0,0,6.56667,6.7,1035.95382,80.1031
2020/1/2 7:15,0.4442,1,6.56667,6.8,1035.85284,79.0628
2020/1/2 7:30,2.0431,18,6.66468,6.7,1036.15578,78.0225
2020/1/2 7:45,1.1548,19,6.66468,6.8,1036.25676,76.9822
2020/1/2 8:00,3.1091,33,6.76269,6.8,1036.35774,75.9419
2020/1/2 8:15,5.5076,97,6.95871,6.8,1036.35774,74.9016
2020/1/2 8:30,14.2132,131,7.25274,7.3,1036.35774,73.8613
2020/1/2 8:45,14.302,341,7.64478,8.7,1036.5597,72.821
2020/1/2 9:00,14.1244,237,7.93881,8.3,1036.66068,71.7807
2020/1/2 9:15,35.8883,195,8.03682,9.1,1037.0646,69.7001
2020/1/2 9:30,42.7285,529,8.42886,9.4,1037.0646,68.6598
2020/1/2 9:45,26.8274,669,9.21294,10.2,1037.16558,67.6195
2020/1/2 10:00,36.5102,179,10.58508,10,1037.26656,66.5792
2020/1/2 10:15,45.6599,603,11.56518,10.7,1037.16558,66.5792
2020/1/2 10:30,43.1726,763,16.26966,11.5,1037.26656,65.5389
2020/1/2 10:45,40.5965,665,15.6816,11.9,1036.96362,64.4986
2020/1/2 11:00,28.6929,533,16.95573,12.2,1036.96362,64.4986
2020/1/2 11:15,38.2868,494,16.46568,12.4,1036.86264,63.4583
2020/1/2 11:30,48.8579,800,17.44578,12.4,1036.66068,62.418
2020/1/2 11:45,62.6269,809,17.05374,13,1036.5597,62.418
2020/1/2 12:00,49.7462,438,15.97563,12.7,1036.45872,62.418
2020/1/2 12:15,32.1574,763,15.48558,12.7,1036.25676,62.418
2020/1/2 12:30,54.099,406,15.6816,13.1,1035.85284,62.418
2020/1/2 12:45,38.9087,757,16.85772,13.4,1035.85284,62.418
2020/1/2 13:00,31.3579,530,16.6617,13.8,1035.5499,63.4583
2020/1/2 13:15,43.5279,787,17.24976,14.4,1035.24696,64.4986
2020/1/2 13:30,38.6422,800,17.34777,14.5,1035.34794,64.4986
2020/1/2 13:45,34.467,501,16.56369,14.3,1035.34794,65.5389
2020/1/2 14:00,33.2234,500,16.46568,14.3,1035.5499,67.6195
2020/1/2 14:15,34.3782,681,15.87762,14.4,1035.65088,68.6598
2020/1/2 14:30,16.434,536,14.99553,14.4,1035.65088,69.7001
2020/1/2 14:45,31.3579,293,13.91742,14.7,1035.65088,71.7807
2020/1/2 15:00,34.7335,497,13.23135,15,1036.0548,73.8613
2020/1/2 15:15,33.2234,503,12.54528,15.3,1036.25676,75.9419
2020/1/2 15:30,15.9899,289,11.56518,15,1036.35774,76.9822
2020/1/2 15:45,9.5939,317,10.48707,14.9,1036.45872,79.0628
2020/1/2 16:00,8.7056,269,10.19304,14.8,1036.45872,80.1031
2020/1/2 16:15,2.7538,104,9.60498,14.2,1036.35774,82.1837
2020/1/2 16:30,3.6421,70,8.62488,13.6,1036.5597,84.2643
2020/1/2 16:45,0.9772,59,7.25274,12.8,1036.76166,85.3046
2020/1/2 17:00,0,10,6.37065,12.6,1037.0646,86.3449
2020/1/2 17:15,0,0,6.07662,12.4,1037.26656,87.3852
2020/1/2 17:30,0,0,5.78259,12.1,1037.67048,88.4255
2020/1/2 17:45,0,0,5.48856,11.9,1037.5695,89.4658
2020/1/2 18:00,0,0,4.99851,12,1037.67048,89.4658
2020/1/2 18:15,0,0,4.80249,11.5,1037.77146,90.5061
2020/1/2 18:30,0,0,4.70448,11.3,1037.97342,91.5464
2020/1/2 18:45,0,0,4.41045,10.8,1038.0744,91.5464
